id,department_id,organization_id,name,role,phone,email,active
Organization-006-Dept-01-Part-08,Organization-006-Dept-01,Organization-006,Zachary Duncan,Doctor,424-783-0024x013,bentleyandrew@allen-shepherd.com,False
Organization-006-Dept-01-Part-09,Organization-006-Dept-01,Organization-006,Ryan Wolfe,Doctor,(714)611-5563,jesse93@yahoo.com,True
Organization-006-Dept-01-Part-10,Organization-006-Dept-01,Organization-006,Tammy Taylor,Doctor,9000432367,antonio72@gmail.com,True
Organization-006-Dept-02-Part-01,Organization-006-Dept-02,Organization-006,Roy King,Nurse,000-840-8583x5552,vwalker@gmail.com,True
Organization-006-Dept-02-Part-02,Organization-006-Dept-02,Organization-006,Cassandra Blackburn,Doctor,520-124-9008x5125,mpetersen@hotmail.com,True
Organization-006-Dept-02-Part-03,Organization-006-Dept-02,Organization-006,Joseph Roberts,Nurse,(872)696-2987,upatton@gmail.com,True
Organization-006-Dept-02-Part-04,Organization-006-Dept-02,Organization-006,Teresa Perez,Nurse,+1-490-424-8234x586,collinssamuel@garrison-buck.com,True
Organization-006-Dept-02-Part-05,Organization-006-Dept-02,Organization-006,Cory Cook,Doctor,+1-315-854-9027x0129,michaelharris@sawyer.com,True
Organization-006-Dept-02-Part-06,Organization-006-Dept-02,Organization-006,Glenn Butler,Doctor,(412)592-4880x007,jsmith@hotmail.com,True
Organization-006-Dept-02-Part-07,Organization-006-Dept-02,Organization-006,Amy Bean,Doctor,+1-533-934-1374x9031,donna59@porter-dunn.com,True
Organization-006-Dept-02-Part-08,Organization-006-Dept-02,Organization-006,Andrew Flores,Doctor,001-753-927-0158x81950,styler@roman-lee.org,True
Organization-006-Dept-02-Part-09,Organization-006-Dept-02,Organization-006,Larry Simmons,Doctor,324.963.1788,wesleyallen@hotmail.com,True
Organization-006-Dept-02-Part-10,Organization-006-Dept-02,Organization-006,Maurice Davis,Doctor,001-976-133-1472x3130,patrickwhite@brown-thomas.net,True
Organization-007-Dept-01-Part-01,Organization-007-Dept-01,Organization-007,John Hernandez,Doctor,+1-483-929-6846,asmith@smith.com,True
Organization-007-Dept-01-Part-02,Organization-007-Dept-01,Organization-007,Richard Johns,Doctor,+1-401-581-2153x4835,chloe96@gordon.info,True
Organization-007-Dept-01-Part-03,Organization-007-Dept-01,Organization-007,Mathew Hughes,Doctor,001-704-961-3022x196,tammy06@ramirez.com,False
Organization-007-Dept-01-Part-04,Organization-007-Dept-01,Organization-007,Eric Russo,Doctor,833-270-2874x2767,johntaylor@harrington.com,True
Organization-007-Dept-01-Part-05,Organization-007-Dept-01,Organization-007,Nathan Dixon,Doctor,744-759-3306x082,boltonphillip@jordan.com,True
Organization-007-Dept-01-Part-06,Organization-007-Dept-01,Organization-007,Brittany Larsen,Nurse,(249)139-4274x598,novaksamuel@gmail.com,True
Organization-007-Dept-01-Part-07,Organization-007-Dept-01,Organization-007,John Arnold,Doctor,841.759.3077,melissamurphy@hunter.info,True
Organization-007-Dept-01-Part-08,Organization-007-Dept-01,Organization-007,Melissa Marquez,Doctor,211-254-3751x4501,nancyrogers@yahoo.com,True
Organization-007-Dept-01-Part-09,Organization-007-Dept-01,Organization-007,Kyle Edwards,Nurse,284.508.6012x9167,wdavis@baird.com,True
Organization-007-Dept-01-Part-10,Organization-007-Dept-01,Organization-007,Trevor Hudson,Doctor,9617686967,jennifer74@gmail.com,True
Organization-007-Dept-02-Part-01,Organization-007-Dept-02,Organization-007,Angela Mejia,Nurse,560.248.1562x1197,wesleydiaz@gmail.com,True
Organization-007-Dept-02-Part-02,Organization-007-Dept-02,Organization-007,Jason Burch,Doctor,(042)202-1248,bennettkatie@williams.com,True
Organization-007-Dept-02-Part-03,Organization-007-Dept-02,Organization-007,Victoria Mitchell,Nurse,384.924.4240x459,sharon11@carter.info,True
Organization-007-Dept-02-Part-04,Organization-007-Dept-02,Organization-007,Jason Bishop,Nurse,+1-022-666-7412x267,dlopez@foster-brooks.org,True
Organization-007-Dept-02-Part-05,Organization-007-Dept-02,Organization-007,Catherine Graham,Doctor,282.649.0880,bakeralicia@gmail.com,True
Organization-007-Dept-02-Part-06,Organization-007-Dept-02,Organization-007,Mark Williams,Doctor,+1-256-299-6551x3509,johnbarnes@chambers.com,True
Organization-007-Dept-02-Part-07,Organization-007-Dept-02,Organization-007,Cynthia Johnson,Doctor,001-460-246-1082,dixonmelissa@gmail.com,False
Organization-007-Dept-02-Part-08,Organization-007-Dept-02,Organization-007,Taylor Cole,Doctor,146-418-7160x55806,amanda37@yahoo.com,True
Organization-007-Dept-02-Part-09,Organization-007-Dept-02,Organization-007,Jennifer Small,Nurse,1615756704,jali@gmail.com,True
Organization-007-Dept-02-Part-10,Organization-007-Dept-02,Organization-007,Matthew Thomas,Nurse,196.936.3970x1355,kimberly75@gmail.com,True
Organization-008-Dept-01-Part-01,Organization-008-Dept-01,Organization-008,Michael Roberson,Doctor,(148)621-5639x6445,victoriamoran@lambert.org,True
Organization-008-Dept-01-Part-02,Organization-008-Dept-01,Organization-008,Phillip Boyd,Doctor,527.144.8538,austingoodwin@smith-roberts.net,True
Organization-008-Dept-01-Part-03,Organization-008-Dept-01,Organization-008,Angel Evans,Nurse,589-292-9603,smartinez@savage.net,True
Organization-008-Dept-01-Part-04,Organization-008-Dept-01,Organization-008,Wanda Allen,Doctor,(758)836-8474,millerstephanie@hotmail.com,True
Organization-008-Dept-01-Part-05,Organization-008-Dept-01,Organization-008,Virginia Contreras,Nurse,547.621.3031x9496,blarson@ingram.com,True
Organization-008-Dept-01-Part-06,Organization-008-Dept-01,Organization-008,Sheila Robertson,Doctor,398.014.2892x24821,jose84@young.com,True
Organization-008-Dept-01-Part-07,Organization-008-Dept-01,Organization-008,Erin Perez,Doctor,068-772-9720,donovanmarilyn@hotmail.com,True
Organization-008-Dept-01-Part-08,Organization-008-Dept-01,Organization-008,Belinda Moses,Nurse,+1-931-151-9220x910,kelseymosley@briggs-reese.com,True
Organization-008-Dept-01-Part-09,Organization-008-Dept-01,Organization-008,Michelle Rodriguez,Nurse,639-710-5781x9703,ybrown@yahoo.com,True
Organization-008-Dept-01-Part-10,Organization-008-Dept-01,Organization-008,Natalie Thomas,Doctor,001-218-523-5388x8338,gmitchell@hotmail.com,True
Organization-009-Dept-01-Part-01,Organization-009-Dept-01,Organization-009,Susan Scott,Doctor,654.439.2013x5918,rperez@stewart-levy.com,True
Organization-009-Dept-01-Part-02,Organization-009-Dept-01,Organization-009,Jason Love,Nurse,+1-474-654-3042,gutierrezjoel@gmail.com,True
Organization-009-Dept-01-Part-03,Organization-009-Dept-01,Organization-009,Gina Serrano,Doctor,1592987989,hudsonteresa@wiggins.biz,True
Organization-009-Dept-01-Part-04,Organization-009-Dept-01,Organization-009,Christopher Meadows,Doctor,983.010.0815,allenbrenda@green.com,True
Organization-009-Dept-01-Part-05,Organization-009-Dept-01,Organization-009,Jessica Owens,Doctor,(121)495-6945,maxpage@hotmail.com,False
Organization-009-Dept-01-Part-06,Organization-009-Dept-01,Organization-009,Ashley Hall,Nurse,276-944-8865x812,roberthardin@gmail.com,True
Organization-009-Dept-01-Part-07,Organization-009-Dept-01,Organization-009,Daniel Jordan,Doctor,+1-864-267-8181,petersmariah@briggs.biz,True
Organization-009-Dept-01-Part-08,Organization-009-Dept-01,Organization-009,Leah Horne,Doctor,001-720-605-0471x626,kristinalopez@yahoo.com,True
Organization-009-Dept-01-Part-09,Organization-009-Dept-01,Organization-009,Thomas Allen,Nurse,7234134001,shannonchapman@rivera-murray.com,True
Organization-009-Dept-01-Part-10,Organization-009-Dept-01,Organization-009,Brent Thomas,Nurse,718.841.5927,sandersyvette@miller.biz,True
Organization-009-Dept-02-Part-01,Organization-009-Dept-02,Organization-009,Brian Walker,Doctor,+1-395-143-5816x50248,yburns@diaz.net,True
Organization-009-Dept-02-Part-02,Organization-009-Dept-02,Organization-009,Melissa Norris,Doctor,(408)482-6640x4222,pdavis@forbes.net,True
